74.125.58.0	74.125.58.255
104.132.0.0	104.133.127.255
63.243.168.0	63.243.171.255
208.211.225.0	208.211.225.255
70.32.148.0	70.32.149.255
1.2.3.0	1.2.3.255
8.34.208.0	8.34.223.255
35.184.0.0	35.207.255.255
66.102.0.0	66.102.15.255
74.114.24.0	74.114.31.255
104.132.0.0	104.133.127.255
107.167.160.0	107.167.191.255
108.177.0.0	108.177.127.255
146.148.0.0	146.148.127.255
172.110.32.0	172.110.39.255
173.255.112.0	173.255.127.255
192.158.28.0	192.158.31.255
207.223.160.0	207.223.175.255
208.117.224.0	208.117.255.255
216.73.80.0	216.73.95.255
23.255.128.0	23.255.255.255
136.32.0.0	136.63.255.255
8.6.48.0	8.6.55.255
192.119.28.0	192.119.28.255
72.14.230.0	72.14.231.255
193.200.222.0	193.200.222.255
165.193.245.0	165.193.245.255
104.237.161.0	104.237.165.255
208.65.152.0	208.65.155.255
208.117.243.0	208.117.247.255
74.125.60.0	74.125.60.255
104.134.128.0	104.134.255.255
208.68.108.0	208.68.111.255
209.62.176.0	209.62.191.255
108.177.0.0	108.177.0.255
8.8.4.0	8.8.4.255
8.35.192.0	8.35.207.255
45.121.228.0	45.121.231.255
66.249.64.0	66.249.95.255
74.125.0.0	74.125.255.255
104.134.128.0	104.134.255.255
107.178.192.0	107.178.255.255
113.197.106.0	113.197.106.255
162.216.148.0	162.216.151.255
172.217.0.0	172.217.255.255
185.25.28.0	185.25.29.255
192.178.0.0	192.179.255.255
208.65.152.0	208.65.155.255
209.85.128.0	209.85.255.255
216.239.32.0	216.239.63.255
45.56.0.0	45.56.63.255
192.119.16.0	192.119.31.255
64.9.224.0	64.9.255.255
185.25.30.0	185.25.30.255
89.207.224.0	89.207.231.255
216.239.44.0	216.239.45.255
207.251.96.0	207.251.96.255
104.237.172.0	104.237.172.255
208.117.224.0	208.117.235.255
208.117.253.0	208.117.253.255
74.125.63.0	74.125.63.255
113.197.104.0	113.197.107.255
185.25.28.0	185.25.29.255
216.73.80.0	216.73.95.255
1.0.0.0	1.0.0.255
8.8.8.0	8.8.8.255
23.236.48.0	23.236.63.255
64.15.112.0	64.15.127.255
70.32.128.0	70.32.159.255
103.62.64.0	103.62.67.255
104.154.0.0	104.155.255.255
108.59.80.0	108.59.95.255
130.211.0.0	130.211.255.255
162.222.176.0	162.222.183.255
172.253.0.0	172.253.255.255
185.150.148.0	185.150.151.255
199.192.112.0	199.192.115.255
208.68.108.0	208.68.111.255
209.107.176.0	209.107.191.255
216.252.220.0	216.252.223.255
99.198.128.0	99.198.255.255
192.200.224.0	192.200.255.255
103.86.148.0	103.86.148.255
216.239.33.0	216.239.33.255
104.132.0.0	104.135.255.255
136.22.0.0	136.22.1.255
12.216.80.0	12.216.80.255
104.237.174.0	104.237.174.255
208.117.237.0	208.117.237.255
104.132.0.0	104.132.29.255
203.208.32.0	203.208.63.255
203.190.122.0	203.190.122.255
70.32.144.0	70.32.144.255
1.1.1.0	1.1.1.255
8.15.202.0	8.15.202.255
23.251.128.0	23.251.159.255
64.233.160.0	64.233.191.255
72.14.192.0	72.14.255.255
104.132.0.0	104.132.1.255
104.196.0.0	104.199.255.255
108.170.192.0	108.170.255.255
142.250.0.0	142.251.255.255
172.102.8.0	172.102.15.255
173.194.0.0	173.194.255.255
192.104.160.0	192.104.161.255
199.223.232.0	199.223.239.255
208.81.188.0	208.81.191.255
216.58.192.0	216.58.223.255
23.228.128.0	23.228.191.255
107.188.128.0	107.188.255.255
216.21.160.0	216.21.175.255
136.22.64.0	136.22.127.255
72.14.224.0	72.14.224.255
185.25.28.0	185.25.31.255
70.32.128.0	70.32.159.255
64.15.112.0	64.15.127.255
104.237.188.0	104.237.191.255
208.117.241.0	208.117.241.255
